frequency_thz,mode,cutoff_thz,beta_rad_m,coupling_fraction_full_beam,coupling_fraction_aperture,attenuation_np_m,copper_loss_db,output_power_fraction,relative_group_delay_ps,amplitude_real,amplitude_imag
1.12,TM12,0.3347378549623198,22400.559532741998,0.08211096973599903,0.08211097130323029,0.7691218100066057,2.6722028639784807,0.04437934568150493,63.90599115911323,0.0,0.0980602738484241
1.12,TE13,0.4072971177228144,21866.294304139912,0.023566069181715107,0.023566069631514697,0.11499739283330293,0.3995418651261121,0.021494777887506707,98.06767986976936,0.0,0.0001897543858836005
1.12,TM13,0.485411279388828,21154.29199492331,0.00593274925747577,0.005932749370712651,0.8144334376464961,2.829631582778955,0.0030923798544766575,146.2762438331889,0.0,0.04727347676383969
1.12,TE14,0.5585338982598654,20346.325784330293,0.0008078139438017989,0.0008078139592203388,0.2164983003118674,0.7521921373350166,0.0006793477347204342,205.06918497932512,0.0,5.8316442390555905e-05
1.12,TM14,0.6357193302349714,19325.7019765857,0.0001310132347052265,0.00013101323720584289,0.8914950691173937,3.0973711132931374,6.420636127633083e-05,286.3636353542817,0.0,0.011007519872216005
1.12,TE15,0.709193116772911,18168.02841872346,8.257532707803244e-06,8.257532865412677e-06,0.38397817369886844,1.334076816069655,6.073550137793658e-06,389.6301481973605,0.0,8.916293074644947e-06
1.12,TM15,0.7858706096283751,16724.887725444965,1.0264459277490976e-06,1.0264459473406107e-06,1.0301279739938514,3.5790311580776493,4.502284765348221e-07,538.3791766763455,0.0,0.0014389893250605988
1.12,TE16,0.8595830165870509,15048.065640824028,1.891414451438051e-08,1.8914144875389992e-08,0.6769468532823585,2.3519542633783876,1.1005031161401886e-08,747.0489641533251,0.0,6.252770109253863e-07
1.12,TM16,0.9359403154819943,12892.696327723837,3.7870318094261925e-10,3.7870318817083084e-10,1.3363211533371007,4.642855223559136,1.300209786725055e-10,1094.9964809222909,0.0,4.090784260727322e-05
1.12,TE17,1.0098251367594069,10152.486009105067,3.5116829408521614e-10,3.511683007878763e-10,1.3813372333016467,4.799257104563279,1.1630264384527185e-10,1750.6648317316833,0.0,1.3202780069077592e-07
1.12,TM17,1.0859621843316567,5743.002933127406,1.6456187125577334e-09,1.6456187439672406e-09,2.9999623172334093,10.422936642337298,1.4929166200844127e-10,4119.270252231215,0.0,0.00015966872205577413
1.1400000000000003,TE11,0.08784923322365325,23821.586133468118,0.3771704907458237,0.37717049454002144,0.3149022108597987,1.0940823401243585,0.2931767139889865,3.979376871502948,0.0,8.489111166431343e-05
1.1400000000000003,TM11,0.18282391732568906,23583.3829843979,0.30575325430553574,0.3057532573813021,0.7502017462364174,2.6064678296372774,0.1677738633548059,17.496181135117222,0.0,0.07308789515331567
1.1400000000000003,TE12,0.2543815366920744,23290.20484202619,0.1954493829875242,0.1954493849536738,0.0654322759082738,0.22733501092267516,0.18548158680723092,34.512102967503296,0.0,0.0002570982241989288
1.1400000000000003,TM12,0.3347378549623198,22839.42791116314,0.0871271744461765,0.08712717532264413,0.7746383877618207,2.6913694182031214,0.04688313970872527,61.527195402015806,0.0,0.09741501589051138
1.1400000000000003,TE13,0.4072971177228144,22315.67221762681,0.02630040136228811,0.026300401626860568,0.1120719679067707,0.3893778979035907,0.0240449892022521,94.28666542143051,0.0,0.00019323322465332766
1.1400000000000003,TM13,0.485411279388828,21618.475194513045,0.006981544926338319,0.006981544996570117,0.8183880415488208,2.843371284002096,0.003627558364838429,140.3572578313467,0.0,0.04939941325952488
1.1400000000000003,TE14,0.5585338982598654,20828.523059770778,0.0010258033684481657,0.0010258033787673738,0.20983970278966343,0.7290578000461537,0.0008672780218172273,196.28413216651987,0.0,6.324860132104309e-05
1.1400000000000003,TM14,0.6357193302349714,19832.729434374578,0.00017792497819942854,0.000177924979989289,0.8920762543031898,3.0993903574463784,8.715611947387505e-05,273.1319755891058,0.0,0.012330949141103513
1.1400000000000003,TE15,0.709193116772911,18706.460289238115,1.2356984177036783e-05,1.2356984301343543e-05,0.36978964840073875,1.2847808301230756,9.192516277372146e-06,369.908804665948,0.0,1.0467507438825602e-05
1.1400000000000003,TM15,0.7858706096283751,17308.27170338041,1.6127364547159454e-06,1.6127364709394866e-06,1.0221883593064565,3.55144611130026,7.118996703534148e-07,507.5738674497077,0.0,0.0017266159405683484
1.1400000000000003,TE16,0.8595830165870509,15693.905806390201,3.966508701138628e-08,3.9665087410402606e-08,0.6434909864263901,2.2357166764756924,2.3704824463060157e-08,697.0351766667354,0.0,8.634315034653748e-07
1.1400000000000003,TM16,0.9359403154819943,13640.968386745973,2.3128553553057945e-09,2.3128553785722767e-09,1.2969989879110069,4.506236027870822,8.194545486989509e-10,1002.7403385207512,0.0,9.570846895477136e-05
1.1400000000000003,TE17,1.0098251367594069,11087.261704062616,3.050183226919543e-10,3.0501832576032755e-10,1.2538551149795945,4.356338860334441,1.1186443733099742e-10,1541.0160912553324,0.0,1.1466067964187684e-07
1.1400000000000003,TM17,1.0859621843316567,7268.8707939548185,8.164377481066195e-10,8.164377563196859e-10,2.4339863111252305,8.456534591597912,1.164848961984672e-10,3051.417717940136,0.0,9.734700182146022e-05
1.1600000000000001,TE11,0.08784923322365325,24241.98364721878,0.36662001501848757,0.3666200169403654,0.31746812563946175,1.102997241163092,0.284391391858545,3.8427516413183107,0.0,8.083007961247633e-05
1.1600000000000001,TM11,0.18282391732568906,24007.951979012512,0.3033134962511195,0.30331349784113487,0.7564126228277982,2.6280466250886274,0.16561019655705136,16.886661944980734,0.0,0.0702912985645208
1.1600000000000001,TE12,0.2543815366920744,23720.022066206482,0.19917521707125152,0.19917521811535827,0.0646433627883179,0.22459404600509175,0.1891367379872371,33.287763824146076,0.0,0.0002505526367962693
1.1600000000000001,TM12,0.3347378549623198,23277.570159855608,0.09205712769693879,0.09205712817951622,0.7801467414530138,2.7105073991027737,0.049318138999479184,59.281564278807444,0.0,0.0966322034241347
1.1600000000000001,TE13,0.4072971177228144,22763.897552096463,0.02915234408236543,0.029152344235186447,0.10929293633020723,0.3797225532736994,0.026711681390440962,90.72706998001479,0.0,0.00019624080771375447
1.1600000000000001,TM13,0.485411279388828,22080.857659374517,0.008138698551359017,0.008138698594023311,0.8224284063235658,2.8574089490144807,0.004215160036445442,134.80690412237473,0.0,0.05141600830951863
